NO,TYPE,PLATE_NO,OWNER NAME,ENGIN NO,SERIAL NO,TITLE CER NO,REG/ DATE,MAKE,MODEL,CAPACITY,ENG POWER HP,M/FA/ YEAR,FILE NO,REGION,CITY,WOREDA,KEBELE,P O Box,TELL,T/ S/No,DATE,DUTY,DATA,Remark,Edesate,EGED,EGED D,EGED N,BIR AMMOUNT,BANK B,Tin Number,Field1
,EXCAVATOR,ሥከ-EX-0120,Development Bank Of Ethiopia,764464,CECAP1011424,22606,21/05/11,DOOSAN,DX340LCA,1.71,247,2018,6317-EX-32,AM,AM,kobo,3,-,913767907,,,FREE,21/10/11,አዲስ ሊብሬ,2011/2012,,,,,,7020,
,EXCAVATOR,ሥከ-EX-0121,ETHIOPIA LEMAT BANK,908103,XCNDDE92C00043669,22657,01/06/11,HITACHI,ZX350H-5G,1.67,255,2017,6317-EX-19,BENSHANGUL,BULEN,,A.ALEM,119,943519014,,,FREE,10/11/11,አዲስ ሊብሬ,2011/2012,,,,,,,
,EXCAVATOR,ሥከ-EX-0122,ETHIOPIA LEMAT BANK,908133,HCMDDE92T00043679,22658,01/06/11,HITACHI,ZX350H-5G,1.67,255,2017,6317-EX-22,AMARA,BUREA,,4,175,0587741145/1220,,,FREE,10/11/11,አዲስ ሊብሬ,2011/2012,,,,,,,
,EXCAVATOR,ሥከ-EX-0123,ETHIOPIAN LEMAT BANK,908114,HCMDDE92L00043675,22659,01/06/11,Hitachi,ZX350H-5G,1.67,255,2017,6317-EX-23,AM,AM,Bura,4,175,587741145,,,FREE,24/10/11,አዲስ ሊብሬ,2011/2012,,,,,,7020,
,EXCAVATOR,ሥከ-EX-0125,ETHIOPIA LEMAT BANK,763911,CECAPO11380,22719,11/06/11,DOOSAN,DX340LCA,1.71,248,2018,6317-EX-30,DEBUBE,HAIK DAR,,GUDUMALE,12,0462124118/0911095786/0911739945,,,FREE,10/11/11,አዲስ ሊብሬ,2011/2012,,,,,,,
,EXCAVATOR,ሥከ-EX-0126,ETHIOPIAN LEMAT BANK,763836,CECAP011379,22718,11/06/11,DOOSAN,DX340LCA,1.71,248,2018,6317-EX-29,Oromaya,Oromaya,haikdar,gudumale,,0462124118*0911739945,,,FREE,24/10/11,አዲስ ሊብሬ,2011/2012,,,,,,5296176,
,EXCAVATOR,ሥከ-EX-0127,ETHIOPIA LEMAT BANK,762133,CECAP011218,14,02/07/11,DOOSAN,DX340LCA,1.71,247,2017,6317-EX-08,AA,KIRKOS,,17-18,1900,115511188,,,FREE,10/11/11,አዲስ ሊብሬ,2011/2012,,,,,,,
,EXCAVATOR,ሥከ-EX-0128,Development Bank Of Ethiopia,762157,CECAP011219,15,02/07/11,Doosan,DX340LCA,1.71,247,2017,6317-EX-09,AA,AA,Kirkos,17/18,1900,0115511188/89,,,FREE,24/10/11,አዲስ ሊብሬ,2011/2012,,,,,,7020,
,EXCAVATOR,ሥከ-EX-0129,Development Bank Of Ethiopia,764483,CECAP011431,37,06/07/11,DOOSAN,DX340LCA,1.71,247,2018,6317-EX-31,AMHARA,ADDIS KIDAM,,ASHAWA,46,582271084,,,FREE,24/08/11,አዲስ ሊብሬ,2011/2012,,,,,,,
,EXCAVATOR,ሥከ-EX-0131,ETHIOPIAN LEMAT BANK,764126,CECAP011412,173,07/09/11,DOOSAN,DX340LCA,1.71,247,2018,6317-EX-34,AA,AA,Kirkos,17/18,612,251115518889,,,FREE,21/09/11,አዲስ ሊብሬ,2011/2012,,,,,,,
,EXCAVATER,ሥከ-EX-0133,GONEDER KETEMA ASETDADERE MENEGDOCE,76000440,HHKHZ905CE0001910,513,03/02/12,HYUNDA,R330 LC-95,1.7,252,2016,7075/EX/01,AMARA,GONEDER,,,,05812602004/05,,,FREE,07/02/12,,2011/2012,,,,,,,
,EXCAVATER,ሥከ-EX-0133,WOLDYA KETEMA ASETDADER,76001010,HHKHZ905CE0001897,496,26/01/12,HYUNDAI,ROBEX330LC-98,1.7,252,2015,7040/EX/01,AMHARA,WOLDYA,10,,,921266542,,,FREE,14/02/12,አዲስ ሊብሬ,2012/2013,,,,,,,
,EXCAVATER,ሥከ-EX-0134,DESYE KETEMA ASETDADERE MNEGDOCE BALSELTANE,76000573,HHKHZ905LE0001930,520,03/12/12,HYUNDAI,ROBEX330LC-90,1.7,252,2016,7059/EX/01,AMHARA,DESSIE,,10,,,,,FREE,13/02/12,አዲስ ሊብሬ,2012/2013,,,,,,,
,CHAIN EXCAVATOR,ሥከ-EX-0135,DEVELOPMENT BANK ETHIOPIA,907593,HCMDDE92T00043620,543,11/02/12,HITACHI,ZX350H-5G,1.6,255HP,2017,6317-EX-20,AA,AA,CHERKOS,,,,,,FREE,11/02/12,አዲስ ሊብሬ,,,,,,,7020,
,EXCAVATOR,ሥከ-EX-0136,A/A/CITY ROAD AUTHORITY,12263067,280556,674,04/03/12,VOLVO,EW205D,1.1M,174HP,2018,7281-EX-01,AA,AA,N/LAFTO,,,113713400,,,FREE,08/03/12,አዲስ ሊብሬ,,,,,,,,
,EXCVATOR,ሥከ-EX-0137,OROMIYA WATER WORKS ENTER PRISE0,937187,CEWBA-005443,710,24/03/12,DOOSAN,DX12WA,1.05,160HP,2019,026-EX-15,AA,AA,A/KALTI,,,0114390799/0911104576,,,FREE,26/03/12,አዲስ ሊብሬ,,,,,,,,
,EXCVATOR,ሥከ-EX-0139,OROMIYA WATER WORKS CON ENTERPRISE,937252,CEWBA-005444,712,24/03/12,DOOSAN,DX210WA,1.05M,160HP,2019,0261-EX-18,AA,AA,A/KALTI,,,114390799,,,FREE,25/03/12,አዲስ ሊብሬ,,,,,,,1161360,
,EXCAVATOR,ሥከ-EX-0140,ADDIS ABABA CITY ROAD AUTHORITY,12263066,VCEW205DH002800558,741,19/03/12,VOLVO,EW205D,1.05M,174HP,2018,7281-EX-02,AA,AA,N/LAFTO,08/09,,113713400,,,FREE,29/03/12,አዲስ ሊብሬ,,,,,,,,
,,ሥከ-EX-0141,A/A CITY ROAD AUTHORITY,12263065,VCEW205DH00280559,740,19/03/12,VOLVO,EW205D,1.05M,174HP,2018,7281-EX-03,AA,AA,N/LAFTO,,,113713400,,,FREE,29/03/12,አዲስ ሊብሬ,,,,,,,,
,LOADER,ሥከ-EX-0143,ETH DEVELOPMENT BANK,764127,CECAPO11416,743,29/03/12,DOOSAN,DX340LCA,1.71M,247HP,2018,6317-EX-11,SNNPR,HAWASSA,,,,462202131,,,FREE,30/03/12,አዲስ ሊብሬ,,,,,,,,
,EXCAVATOR,ሥከ-EX-0144,ETH DEVELOPMENT BANK,764396,CECAPO11418,744,24/03/12,DOOSAN,DX340LCA,1.71,247HP,2018,6317-EX-16,SNNPR,HAWASSA,GUDUMALLE,,,462202131,,,FREE,30/03/12,አዲስ ሊብሬ,,,,,,,,
,EXCAVATOR,ሥከ-EX-0145,ETH DEVELOPMENT BANK,759328,CECAP011022,145,29/03/12,DOOSAN,DX340LCA,1.71M,247HP,2017,6317-EX-15,AA,AA,KIRKOS,,,115511188,,,FREE,01/04/12,አዲስ ሊብሬ,,,,,,,,
,EXCAVATOR,ሥከ-EX-0146,ETH DEVELOPMENT BANK,764398,WGCECAPLJ1011425,749,30/03/12,DOSSAN,DX340CA,1.71M,247HP,2018,6317-EX-21,SNNPRS,HAWASSA,,,,,,,FREE,01/04/12,አዲስ ሊብሬ,,,,,,,,
,,ሥከ-EX-0147,ETH DEVELOPMENT BANK,763933,CECAP011396,753,30/03/12,DOOSAN,DX340LCA,1.71,247,2018,6317-EX-28,SNNPRS,HAWASSA,CHUCO,,,913745110,,,FREE,01/04/12,አዲስ ሊብሬ,,,,,,,,
,EXCAVATOR,ሥከ-EX-0148,ETH DEVELOPMENT BANK,764235,DWGCECADCH1011415,752,30/03/12,DOOSAN,DX340LCA,1.71,247HP,2018,6317-EX-14,SNNPRS,HAWASSA,,,,,,,FREE,01/04/12,አዲስ ሊብሬ,,,,,,,,
,Chain-Excauator,ሥከ-Ex-0149,Devehopment Bnke of Ethioplan,759217,CECAP-011001,768,06/04/12,DOOSAN,DX340LSA,1.7,247,2017,6317/EX/47,OROMIYA,BEKESA,,3,68,576611241,,,FREE,07/04/12,አዲስ ሊብሬ,2012/2013,,,,,,,
,EXCAVATOR,ሥከ-EX-0150,ETH DEVELOPMENT BANK,763586,CECAP011350,786,13/04/12,DOOSAN,DX340LCA,1.71,248,2018,6317-EX-30,SNNR,Halba Qalit,,,,0913225851/0926993618/0912015678,,,FREE,14/04/12,አዲስ ሊብሬ,2012/2013,,,,,,7020,
,EXCAVATOR,ሥከ-EX-0151,Water Works Construction Enterprise,937195,CEWBA-005441,847,24/04/12,Fiat Allis,FE40L,163HP,1.07M*3,2019,026-EX-16,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,EXCAVATER,ሥከ-EX-0153,SOUMLY KELELE MNGDOCE CON,73362104,HHKN901H00003264,855,04/05/12,HYONDY,320LC-7,1.5,258,,7434-EX-09,JEJEGa,JEJEGA,,7,,928909413,,,FREE,14/07/12,አዲስ ሊብሬ,2012/2013,,,,,,3809208,
,EXCAVATERE,ሥከ-EX-0153,Development Bank Of Ethiopia,DE12TIS759218E00,CECAPO11002,862,06/05/12,DOUSAN,DX340LCA,1.71,247,2017,6317-XE-48,OROMYA,NEKEMETE,,,,576611594,,,FREE,09/07/12,አዲስ ሊብሬ,2012/2013,,,,,,,
,EXCAVATERE,ሥከ-EX-0155,Development Bank Of Ethiopia,763718,CECAP011378,2578,10/02/14,DOOSAN,DX340LCA,1.71M*3,247HP,2018,6317-XE-42,AA,KIRKOS,,,,01155511188/89,,,FREE,26/02/14,አዲስ ሊብሬ,2014/2015,,,,,,,
,EXCAVATERE,ሥከ-EX-0156,Development Bank Of Ethiopia,884914,CECAP011486,2579,10/02/14,DOOSAN,DX340LCA,1.71M*3,247HP,2018,6317-XE-43,AA,KIRKOS,,,,01155511188/89,,,FREE,26/02/14,አዲስ ሊብሬ,2014/2015,,,,,,,
,LODERE,ሥከ-EX-0157,ETYOPYA LEMATE BANK,763773,CECAP11368,1402,19/12/12,DOSAN,DX340LCA,1.71,247,2018,6317/EX/39,AMARA,N/SEWA,,TULF,123,922465629,,,FREE,25/01/13,አዲስ ሊብሬ,2012/2013,,,,,,,
,EXCVATOR,ሥከ-EX-0159,,E7A30559,CAT00330AFEK10015,1623,26/02/13,CAT,330GC,1.65M*3,213HP,2019,026/EX/09,AA,AKAKI,,,,114390799,,,FREE,12/06/13,አዲስ ሊብሬ,2013/2014,,,,,,1,
,EXCVATOR,ሥከ-EX-0160,OROMIA CONSTRUCTION COORPORATION,E7A303561,CAT00330LFEK10016,1624,26/02/13,CAT,330GC,1.65M*3,213HP,2020,026/EX/10,AA,KALITI,,,,114390799,,,FREE,11/06/13,አዲስ ሊብሬ,2013/2014,,,,,,1,
,EXCAVATOR,ሥከ-EX-0161,OROMIA COSTRUCTION CORPORATION,E7A32374,CAT00330CFEK10223,1625,26/02/13,CAT,330GC,1.65M*3,213HP,2020,026-EX-01,AA,BOLE,---,14/15,1008,0582201480/0582201711,,,FREE,,,,,,,,,,
,EXCVATOR,ሥከ-EX-0162,OROMIA CONSTRUCTION COORPORATION,E7A30555,CAT00330VFEK10014,1626,26/02/13,CAT,330GC,1.65M*3,213HP,2019,026/EX/12,AA,KALITI,,,,114390799,,,FREE,11/06/13,አዲስ ሊብሬ,2013/,,,,,,1,
,EXCVATOR,ሥከ-EX-0166,YE ETHIOPIA LEMAT BANK,864981,CECAP011489,1796,08/01/13,DOOSAN,DX340LCA,1.71M*3,247HP,2018,6317/EX/27,DEBUB,HAMBO,,,,911550678,,,FREE,15/06/13,አዲስ ሊብሬ,2013/2014,,,,,,,
,EXCVATOR,ሥከ-EX-0167,ETHIOPIAN LEMAT BANK,7.60E+05,CECCAP011135,1886,04/03/13,DOOSAN,DX340LCA,1.71*3,247,2017,6317/EX/28,OROMIA,GOBA,,,,226610158,,,FREE,15/06/13,አዲስ ሊብሬ,2013/2014,,,,,,,
,EXCAVATOR,ሥከ-EX-0172,ETHIOPIAN CONSTRUCTION WORKS CORPORATION,87562856,CCN180W1X18101104,2237,16/10/13,POWER PLUS,PP180W-1X,0.75M*3,125HP,2013,026-EX-16,AA,YEKA,,,,913006532,,,FREE,23/10/13,አዲስ ሊብሬ,2013/2014,,,,,,48380057,
,EXCVATOR,ሥከ-EX-0176,YE ETHIOPIA LEMAT BANK,943990,HCMDDE92A00044548,2287,12/11/13,HITACHI,ZX350H-5G,1.6M*3,255HP,2019,6317/EX/51A,AMHARA,CHAGNI,,,,935452643,,,FREE,15/11/13,አዲስ ሊብሬ,2013/2014,,,,,,,
,EXCVATOR,ሥከ-EX-0177,ETHIOPIAN CONSTRUCTION WORKS CORPORATION,87558360,CCN180W1X1810112,2335,16/10/13,POWER PLUS,PP180W-IX,0.75M*3,164HP,2013,026/EX/18,AA,AA,YEKA,,,913158496,,,FREE,30/11/13,አዲስ ሊብሬ,2013/2014,,,,,,48380057,
,EXCVATOR,ሥከ-EX-0179,OROMIA CONSTRUCTION COORPORATION,12560632,VCEC300DJ00272106,2410,10/11/13,VOLVO,EC300DL,1.69M*3,228HP,2020,026/EX/42,AA,KALITI,,,,114390799,,,FREE,11/06/13,አዲስ ሊብሬ,2013/2014,,,,,,1,
,EXCVATOR,ሥከ-EX-0180,OROMIA CONSTRUCTION COORPORATION,12611235,CVEC300DP00272166,2412,10/11/13,VOLVO,EC300DL,1.69M*3,228HP,2020,026/EX/43,AA,KALITI,,,,114390799,,,FREE,11/06/13,አዲስ ሊብሬ,2013/2014,,,,,,1,
,EXCVATOR,ሥከ-EX-0186,OROMIA CONSTRUCTION COORPORATION,DX12TI003815E01,CECEF-020984,2642,11/02/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/55,AA,AKAKI,A/KALTI,,,114390799,,,FREE,24/03/14,አዲስ ሊብሬ,,,,,,,1161360,
,EXCVATOR,ሥከ-EX-0187,OROMIA CONSTRUCTION COORPORATION,DX12TI103952E01,CECEF-020963,2643,11/02/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/556,AA,AKAKI,A/KALTI,,,114390799,,,FREE,24/03/14,አዲስ ሊብሬ,,,,,,,1161360,
,EXCVATOR,ሥከ-EX-0188,OROMIA CONSTRUCTION COORPORATION,DX12TI103954,CECEF-020964,2644,11/02/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/57,AA,AKAKI,A/KALTI,,,114390799,,,FREE,24/03/14,አዲስ ሊብሬ,,,,,,,1161360,
,EXCVATOR,ሥከ-EX-0189,OROMIA CONSTRUCTION COORPORATION,DX12TI104142E01,CECEF-021025,2645,11/02/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/58,AA,AKAKI,A/KALTI,,,114390799,,,FREE,24/03/14,አዲስ ሊብሬ,,,,,,,1161360,
,EXCVATOR,ሥከ-EX-0190,OROMIA CONSTRUCTION COORPORATION,DX12TI104188E01,CECEF-021026,2639,11/02/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/59,AA,AKAKI,A/KALTI,,,114390799,,,FREE,24/03/14,አዲስ ሊብሬ,,,,,,,1161360,
,EXCAVATOR,ሥከ-EX-0191,Addis Ababa Water & Sewerage Authority,142462,CEWBA-005816,2674,15/03/14,DOOSAN,DX210WA,1M*3,160HP,2021,350-EX-05,AA,AA,Bole,08/09,1505,116621525,,,FREE,30/03/14,አዲስ ሊብሬ,,,,,,,,
,EXCAVATOR,ሥከ-EX-0192,Addis Ababa Water & Sewerage Authority,142463,CEWBA-005815,2675,15/03/14,DOOSAN,DX210WA,1M*3,160HP,2021,350-EX-06,AA,AA,Bole,08/09,1505,116621525,,,FREE,30/03/14,አዲስ ሊብሬ,,,,,,,,
,EXCVATOR,ሥከ-EX-0194,OROMIA CONSTRUCTION COORPORATION,104201,CECEF-021033,2790,19/04/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/61,AA,KALITI,,,,114390799,,,FREE,26/05/14,አዲስ ሊብሬ,2014/2015,,,,,,68593992,
,EXCVATOR,ሥከ-EX-0195,OROMIA CONSTRUCTION COORPORATION,104084,CECEF-020998,2792,19/04/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/60,AA,KALITI,,,,114390799,,,FREE,26/05/14,አዲስ ሊብሬ,2014/2015,,,,,,68593992,
,EXCVATOR,ሥከ-EX-0196,OROMIA CONSTRUCTION COORPORATION,104055,CECEF-020997,2791,19/04/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/59,AA,KALITI,,,,114390799,,,FREE,26/05/14,አዲስ ሊብሬ,2014/2015,,,,,,68593992,
,EXCVATOR,ሥከ-EX-0197,OROMIA CONSTRUCTION COORPORATION,104050,CECEF-020999,2794,19/04/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/63,AA,KALITI,,,,114390799,,,FREE,26/05/14,አዲስ ሊብሬ,2014/2015,,,,,,68593992,
,EXCVATOR,ሥከ-EX-0199,OROMIA CONSTRUCTION COORPORATION,104198,CECEF-021029,2793,19/04/14,DOOSAN,DX340LCA-K,1.71M*3,261HP,2021,026/EX/62,AA,KALITI,,,,114390799,,,FREE,26/05/14,አዲስ ሊብሬ,2014/2015,,,,,,68593992,
,EXCVATOR,ሥከ-EX-0199,OROMIA CONSTRUCTION COORPORATION,6HK1-951131,HCMDDE92V00044693,2812,23/05/14,HITACHI,ZX350H-5G,1.6M*3,255HP,2021,026/EX/67,AA,AKAKI,A/KALTI,,,114390799,,,FREE,15/06/14,አዲስ ሊብሬ,,,,,,,1161360,
,EXCAVATOR,ሥከ-EX-0200,OROMIA CONSTRUCTION CORPORATION,6HK1-951129,HCMDDE92C00044692,2816,23/05/14,HITACHI,ZX350H-5G,1.6M*3,255HP,2021,026-EX-65,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,15/06/14,አዲስ ሊብሬ,,,,,,,,
,EXCAVATOR,ሥከ-EX-0201,OROMIA CONSTRUCTION CORPORATION,6HK1-951130,HCMDDE92J00044691,2813,23/05/14,HITACHI,ZX350H-5G,1.6M*3,255HP,2021,026-EX-64,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,15/06/14,አዲስ ሊብሬ,,,,,,,,
,EXCAVATOR,ሥከ-EX-0202,OROMIA CONSTRUCTION CORPORATION,6HK1-951132,HCMDDE92L00044695,2815,23/05/14,HITACHI,ZX350H-5G,1.6M*3,255HP,2021,026-EX-66,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,15/06/14,አዲስ ሊብሬ,,,,,,,,
,EXCAVATOR,ሥከ-EX-0203,OROMIA CONSTRUCTION CORPORATION,6HK1-955063,HCMDDE92P00044722,2814,23/05/14,HITACHI,ZX350H-5G,1.6M*3,255HP,2021,026-EX-63,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,15/06/14,አዲስ ሊብሬ,,,,,,,,
,EXCAVATOR,ሥከ-EX-0210,Development Bank Of Ethiopia,922512,HCMDDE92L00044146,3271,02/12/14,HITACHI,ZX350H-5G,1.62M*3,246HP,2018,6317-EX-41,AA,AA,Kirkos,17/18,612,115244184,,,FREE,11/12/14,አዲስ ሊብሬ,2014/2015,,,,,,,
,EXCAVATOR,ሥከ-EX-0212,ETH DEVELOPMENT BANK,2692,CECEF020630,3314,17/12/14,DOSSAN,DX340LCA-K,1.71M,247HP,2020,6317-EX-28,SNNPRS,HAWASSA,,,,,,,FREE,30/12/14,አዲስ ሊብሬ,2014/2015,,,,,,,
,EXCVATOR,ሥከ-EX-0213,DEVELOPMENT BANK OF ETHIOPIA,2968,CECEF020702,3690,01/02/15,DOOSAN,DX340LCA-K,1.71*3,260HP,2020,6317/EX/58,AMHARA,N/SHEWA,,,,226610158,,,FREE,02/02/15,NEW,2015/2016,,,,,,,
,EXCAVATOR,ሥከ-EX-0215,Development Bank Of Ethiopia,3200,CECEF020776,3687,17/12/14,DOOSAN,DX340LCA,1.71,247HP,2018,6317-EX-03-BR,AMHARA,M/GOJAM,,,,,,,FREE,04/02/15,NEW,2015/2016,,,,,,,
,EXCVATOR,ሥከ-EX-0216,ETHIOPIAN ROAD ADMINSTRATION,761002,CECAP-011139,3729,19/04/15,DOOSAN,DX340LCA,1.71M*3,247HP,2017,8197/EX/01,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,09/03/15,TRANSFER,,የባንክ ቤት,01/03/96,585/96,7.500.000,WEGAGEN BANK,,
25,EXCVATOR,ሥከ-EX-0219,ETHIOPIAN ROAD ADMINSTRATION,THX40218,DEJ2F00455,3745,19/04/15,CAT,336DL,2M*3,268HP,-,8197/EX/03,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,13/03/15,TRANSFER,2015/2016,,,,,,,
25,EXCVATOR,ሥከ-EX-0220,ETHIOPIAN ROAD ADMINSTRATION,THX31106,PTB00246,3742,19/04/15,CAT,336DL,2M*3,268HP,-,8197/EX/03,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,13/03/15,TRANSFER,2015/2016,,,,,,,
,EXCAVATOR,ሥከ-EX-0221,Development Bank Of Ethiopia,104575,CECEF-021140,3864,27/03/15,DOOSAN,DX340LCA-K,1.71,260,2021,6317-EX-01,AMHARA,GONDER,,,,,,,FREE,05/04/15,NEW,2015/2016,,,,,,,
,EXCAVATOR,ሥከ-EX-0222,BULE HORA UNIVERSITY,40415,DHKCEWBACL5005667,3910,14/15/,DOOSAN,DXZ10WA,1.28M3,,2021,8322/EX/02,OROMOYA,W/GOJE,,BULE HORA,,,,,FREE,,,,,,,,,,
,EXCAVATOR,ሥከ-EX-0279,ETH DEVELOPMENT BANK,C9177001669,XUG0050GTHCB07814,787,13/04/12,XCMG,ZL50GN,3,217,2017,6317-EX-20,SNNR,Halba Qalit,,,,0913225851/0926993618/0912015678,,,FREE,14/04/12,አዲስ ሊብሬ,2012/2013,,,,,,7020,
,EXCVATOR,ሥከ-EX-0724,OROMIA CONSTRUCTION COORPORATION,E7A32374,CAT003330CFEK10223,1625,26/02/20,CAT,330GC,1.65M*3,213HP,2020,026/EX/11,AA,KALITI,,,,114390799,,,FREE,11/06/13,አዲስ ሊብሬ,2013/2014,,,,,,,
,EXCAVATOR,ሥከ-EX-075,PREFABRICATED BUILDING PARTS PRODUCTS,439179,DHKCECAPTE005931,15680,01/08/07,DOOSAN,DX340LCA,1.65,261,2014,063-EX-01,AA,AA,AK/KALIT,-,,921737237,,,FREE,,,,,,,,,47878,
,EXCAVATOR,ሥከ-EX-079,Adola Woyu Mazegaja Bet,26857660,61023,17537,16/07/08,Komatsu,PC350LC-8,2,246,2008,5705-EX-01,AA,AA,Bole,,,,7357,28/01/03,FREE,,,,,,,,,,
,EXCAVATOR,ሥከ-EX-081,Tigray Water Works Construction Enterprise,2011041237,WLHZ1075KZD032733,18181,05/11/08,Lieberr,R944B,1.9,241,2011,2421-EX-06,Tigray,Tigray,Mekele,7,Semen Woreda,344408976,,,PAID,,,,,,,,,,
,EXCAVATOR,ሥከ-EX-082,Tigray Water Works Construction Enterprise,2011023246,WLHZ1075VZD032736,18182,05/11/08,Libherr,R944B,1.9,241,2011,2421-EX-06,Tigray,Tigray,Mekele,7,Semen Woreda,344408976,,,PAID,,,,,,,,,,
,EXCAVATOR,ሥከ-EX-083,Tigray Water Works Construction Enterprise,73357632,HHKHN901JC0003256,18183,05/11/08,Hyundai,Robex 320LC-7,1.4,232,2012,2421-EX-09,Tigray,Tigray,Mekele,7,Semen Woreda,344408976,,,PAID,,,,,,,,,,
,EXCAVATOR,ሥከ-EX-084,Tigray Water Works Construction Enterprise,73375912,HHKHN901C0003341,18184,05/11/08,Hyundai,320LC-7,1.4,232,2012,2421-EX-07,Tigray,Tigray,Mekele,7,Semen Woreda,344408976,,,PAID,,,,,,,,,,
,EXCAVATOR,ሥከ-EX-085,Tigray Water Works Construction Enterprise,73366276,HHKHN901AC0003259,18185,05/11/08,Hyundai,320LC-7,1.4,232,2012,2421-EX-08,Tigray,Tigray,Mekele,7,Semen Woreda,344408976,,,PAID,,,,,,,,,,
,EXCVATOR,ሥከ-EX-090,Amhara Road Works Enterprise,11650840,VCEW205DA00280204,17591,22/07/08,VOLVO,EW205D,1M*3,176HP,2014,2109/EX/06,Amhara,AM,B/Dare,16,1678,582204486,,,FREE,03/02/15,,,,,,,,,
,EXCAVATER,ሥከ-EX-1104,SABEYE JENEERALI CONSTRUCTLON,5HK36400,7ML00282,469,20/01/12,CAT,M315,0.63,24,1996,4835-EX-01,AA,AA,,,,911717988,,,FREE,21/01/12,በጠፋ ምትክ,2011/2012,,,,,,,
,EXCAVATOR,ሥከ-EX-1386,AMARA WATER WORK CONSTRUCTION,2011021172,WLHZ1075LZD032367,16869,12/04/08,Liebherr,R944 B,1.8,245,2011,5360-EX-01,AM,AM,B/Dare,14,106,582200480,,,FREE,18/08/10,አዲስ ሊብሬ,2010/2011,,,,,,,
,EXCVATOR,ሥከ-EX-158,MEKEDINIYA CHAITY ASSSOCIATION,6HK1-938519,HCMDDEM1T00000037,1609,20/02/13,HITACHI,ZX350H-FG,1.67M*3,255HP,2019,7817/EX/01,AA,BOLE,,,,949494949,,,FREE,26/06/13,አዲስ ሊብሬ,,,,,,,27054421,
,EXCAVATOR,ሥከ-EX-168,Amhara National Region Water Works Construction Enterprise,26426329,67725,2020,24/07/13,KOMATSU,PC220-7,1.3M*3,168HP,2006,1722-EX-29,AMARA,BAHERDAR,BAHERDAR,14,106,0918782890/0582200280,,,FREE,30/07/13,አዲስ ሊብሬ,2013/2014,,,,,,1003525,
,EXCVATOR,ሥከ-EX-178,OROMIA CONSTRUCTION COORPORATION,12611238,VCEC300DC00272164,2411,10/11/13,VOLVO,EC300DL,1.69M*3,228HP,2020,026/EX/41,AA,KALITI,,,,114390799,,,FREE,11/06/13,አዲስ ሊብሬ,2013/2014,,,,,,1,
,EXCVATOR,ሥከ-EX-181,ETH.CON DESIGN & SUPER WORKS CORP,73312158,CCN350EX18101141,2497,27/07/13,POWERPLUS,PP350E-X,1.8M*3,250HP,2013,7962/EX/01,AA,BOLE,,,,116614501,,,FREE,07/01/14,አዲስ ሊብሬ,,,,,,,48703199,
,EXCVATOR,ሥከ-EX-182,ETH.CON DESIGN & SUPER WORKS CORP,73310813,CCN350EX18101143,2498,27/07/13,POWERPLUS,PP350E-X,1.8M*3,250HP,2013,7962/EX/02,AA,BOLE,,,,116614501,,,FREE,07/01/14,አዲስ ሊብሬ,,,,,,,48703199,
,EXCVATOR,ሥከ-EX-183,Development Bank Of Ethiopia,763644,CECAP011357,2539,20/01/14,DOOSAN,DX340LCA,1.71M*3,247HP,2018,6317/EX/52,TIGRAY,ABERGELE,,,,344410233,,,FREE,05/02/14,አዲስ ሊብሬ,2014/2015,,,,,,,
,EXCVATOR,ሥከ-EX-184,Development Bank Of Ethiopia,763645,CECAP011362,2541,20/01/14,DOOSAN,DX340LCA,1.71M*3,247HP,2018,6317/EX/51,TIGRAY,ABERGELE,,,,344410233,,,FREE,05/02/14,አዲስ ሊብሬ,2014/2015,,,,,,,
,EXCVATOR,ሥከ-EX-185,DEVEHOPMENT BNKEOF ETHIOPIA,763606,CECAP011359,2540,20/01/14,DOOSAN,DX340LCA,1.71M*3,247HP,2018,6317/EX/53,TIGRAY,MAYCHEW,,,,0115511188/89,,,FREE,16/02/14,አዲስ ሊብሬ,2014/2015,,,,,,,
