NO,TYPE,PLATE_NO,OWNER NAME,ENGIN NO,SERIAL NO,TITLE CER NO,REG/ DATE,MAKE,MODEL,CAPACITY,ENG POWER HP,M/FA/ YEAR,FILE NO,REGION,CITY,WOREDA,KEBELE,P O Box,TELL,T/ S/No,DATE,DUTY,DATA,Remark,Edesate,EGED,EGED D,EGED N,BIR AMMOUNT,BANK B,Tin Number,Field1
,COMPACTOR,ሥከ-CM-0032,National Engineers & Contractor Enterprise,2193326,2248,832,18/11/94,USSR,DY47BT,8,52,---,032-CM-05,AA,AA,17,24,2067,621836,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0033,National Engineers & Contractor Enterprise,4TF17788,4HL00185,841,02/12/94,Cat,CS533,10.1,145,1994,032-CM-03,AA,AA,17,24,2067,621836,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0034,National Engineers & Contractor Enterprise,174398-L,B113022738,865,30/12/94,Hyster,C-610A,8,---,1989,032-CM-01,AA,AA,17,24,2067,621836,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0035,National Engineers & Contractor Enterprise,4TF17247,4HL00184,866,30/12/94,Cat,CS-533,10.11,138,1994,032-CM-04,AA,AA,17,24,2067,621836,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0036,Water Works Construction Enterprise,70V14692,86X00592,882,02/01/94,Cat,825C,25,250,1987,026-CM-14,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,የባንክ ቤት,20/04/98,1637/05,1637/05,ኢትዮጲ ያ ንግድ ባንክ,,
,COMPACTOR,ሥከ-CM-0037,Water Works Construction Enterprise,21499617,70220803,946,07/02/95,Dynapac,CA512,15.6,173,2002,026-CM-15,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,PAID,,,,የባንክ ቤት,20/04/98,1637/05,48.755.851,ኢትዮጲ ያ ንግድ ባንክ,,
,COMPACTOR,ሥከ-CM-0038,Water Works Construction Enterprise,21502736,70220804,947,07/02/95,Dynapac,CA512,15.6,173,2002,026-CM-16,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,PAID,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0039,Blue Nile Construction Share Company,6001053,400122551,1121,19/05/95,Bomag,BW212D,10.15,112,1991,050-CM-01,AA,AA,N/Lafto,10/18,1182,114426332,,,PAID,,,,የባንክ ቤት,01/03/96,585/96,7.500.000,WEGAGEN BANK,,
,COMPACTOR,ሥከ-CM-0041,National Engineers & Contractor Enterprise,3330035/37,51463-1040,1227,06/08/95,Hatra,10.3WD,10.3,37.5,1963,032-CM-07,AA,AA,17,24,2067,621836,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0042,National Engineers & Contractor Enterprise,451388,2487,1228,06/08/95,Ursus Peroni,---,14,66,---,032-CM-08,AA,AA,17,24,2067,621836,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0043,Construction works & Coffee Technology Development Enterprise,7378928,101400820109,1243,11/08/95,Bomag,BW-21D,10.1,112,1991,034-CM-01,AA,AA,Kirkos,15/16,5898,0115155920/21,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0044,Construction works & Coffee Technology Development Enterprise,7809975,115900276,1258,21/08/95,Bitelli,C100,10.4,106,---,034-CM-03,AA,AA,Kirkos,15/16,5898,0115155920/21,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0045,Construction works & Coffee Technology Development Enterprise,7809961,115900277,1259,21/08/95,Bitelli,C100,10.4,106,---,034-CM-04,AA,AA,Kirkos,15/16,5898,0115155920/21,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0046,Agricultural Equmpent & Technical Service Share Company,21028015,6021,1431,05/13/95,Ingrsollran,SD-100,10,112,1988,111-CM-01,AA,AA,19,57,5575,424177,,,FREE,,,,,,,,,,
